price,status,area,rate per sqft,property type,locality,builder name,rera approval,bhk_count,society,company name,flat type,price_tier,price_cr
10700000,under construction,1138,9450,2 bhk apartment in m3m antalya hills phase i,sector 79,home,approved by rera,2,m3m antalya hills phase i,m3m,apartment,budget,1.07
14400000,under construction,1528,9450,3 bhk apartment in m3m antalya hills phase i,sector 79,property in gurgaon,approved by rera,3,m3m antalya hills phase i,m3m,apartment,value-mid,1.44
40000000,ready to move,4500,8888,4 bhk independent floor,sector 57,mm india pvt ltd,not approved by rera,4,outside socity,outside,plot,premium,4.0
24000000,under construction,1800,13333,3 bhk independent floor in anant raj estate plots,sector 63,mm india pvt ltd,approved by rera,3,anant raj estate plots,anant,floor,premium,2.4
63800000,ready to move,2282,28000,3 bhk apartment in dlf park place,sector 54,mm india pvt ltd,not approved by rera,3,dlf park place,dlf,apartment,ultra-luxury,6.38
4500000,ready to move,920,4891,3 bhk apartment,sector 3a,seller,not approved by rera,3,outside socity,outside,plot,budget,0.45
4500000,ready to move,1000,4500,2 bhk apartment,sector 69,seller,not approved by rera,2,outside socity,outside,plot,budget,0.45
9000000,ready to move,1250,7200,3 bhk independent floor in bptp astaire garden plots,sector 70a,seller,not approved by rera,3,bptp astaire garden plots,bptp,floor,budget,0.9
74900000,under construction,3800,19736,4 bhk apartment in dlf the arbour,sector 63,seller,approved by rera,4,dlf the arbour,dlf,apartment,ultra-luxury,7.49
19700000,under construction,2390,8250,4 bhk apartment in navraj the antalya,sector 37d,seller,approved by rera,4,navraj the antalya,navraj,apartment,value-mid,1.97
80100000,under construction,3956,20253,4 bhk apartment in dlf the arbour,sector 63,seller,approved by rera,4,dlf the arbour,dlf,apartment,ultra-luxury,8.01
13700000,under construction,1450,9448,3 bhk apartment in ss cendana residence,sector 83,superb solution providers pvt ltd,approved by rera,3,ss cendana residence,ss,apartment,value-mid,1.37
22000000,ready to move,2450,8979,4 bhk independent floor,sector 51,sharma realtors solution,not approved by rera,4,outside socity,outside,plot,value-mid,2.2
15000000,under construction,1205,12448,3 bhk apartment in signature global city 81 phase 2,sector 81,sm realty,approved by rera,3,signature global city 81 phase 2,signature,apartment,value-mid,1.5
44000000,under construction,1677,26237,3 bhk apartment in adani brahma samsara vilasa,sector 63,impex estates india private limited,approved by rera,3,adani brahma samsara vilasa,adani,apartment,ultra-luxury,4.4
12000000,ready to move,1430,8391,3 bhk apartment in mapsko casa bella,sector 82,bricksblenders,not approved by rera,3,mapsko casa bella,mapsko,apartment,budget,1.2
52500000,ready to move,2905,18072,4 bhk apartment in tata primanti,sector 72,corvous india infratech pvt ltd,not approved by rera,4,tata primanti,tata,apartment,ultra-luxury,5.25
4600000,ready to move,720,6388,1 bhk apartment in ameya sapphire eighty three,sector 83,ayuni direct realty,not approved by rera,1,ameya sapphire eighty three,ameya,apartment,budget,0.46
30000000,ready to move,2082,14409,3 bhk apartment in omaxe the nile,sector 49,sagar,not approved by rera,3,omaxe the nile,omaxe,apartment,premium,3.0
9900000,ready to move,1366,7247,2 bhk apartment in m3m woodshire,sector 107,home,not approved by rera,2,m3m woodshire,m3m,apartment,budget,0.99
45300000,ready to move,3969,11413,4 bhk independent floor in unitown trehan luxury floor 63,sector 63,property in gurgaon,not approved by rera,4,unitown trehan luxury floor 63,unitown,floor,ultra-luxury,4.53
